                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.38441,                0.20909,                0.92438,                0.95972,                0.94921,                0.97874,                0.84204,                0.63961,                0.32584,                0.94804,               0.001189,               0.001189,               0.001189
                     91,                0.37035,                0.19776,                0.91485,                0.96006,                0.94912,                0.97895,                0.84245,                0.63909,                0.32558,                0.94772,                0.00109,                0.00109,                0.00109
                     92,                0.35955,                0.19253,                0.91041,                0.96019,                0.94943,                0.97896,                0.84292,                0.63855,                0.32479,                 0.9476,               0.000991,               0.000991,               0.000991
                     93,                0.35184,                0.18704,                0.90689,                0.95972,                0.94993,                0.97902,                0.84338,                0.63793,                0.32433,                 0.9475,               0.000892,               0.000892,               0.000892
                     94,                0.34711,                 0.1839,                 0.9026,                0.96126,                0.94654,                0.97908,                0.84395,                0.63738,                 0.3236,                0.94747,               0.000793,               0.000793,               0.000793
                     95,                0.33877,                0.17981,                0.90135,                0.96124,                0.94582,                0.97901,                0.84449,                0.63695,                0.32294,                0.94738,               0.000694,               0.000694,               0.000694
                     96,                0.33248,                0.17565,                0.89902,                 0.9616,                0.94639,                0.97905,                0.84438,                0.63649,                0.32249,                0.94739,               0.000595,               0.000595,               0.000595
                     97,                0.32701,                0.17371,                0.89555,                0.96172,                0.94653,                0.97909,                0.84481,                0.63575,                0.32256,                0.94725,               0.000496,               0.000496,               0.000496
                     98,                0.32567,                 0.1726,                0.89332,                0.96342,                0.94637,                0.97884,                0.84556,                0.63545,                 0.3224,                0.94726,               0.000397,               0.000397,               0.000397
                     99,                0.31904,                0.16886,                0.89183,                0.96308,                0.94679,                0.97886,                0.84518,                0.63479,                0.32229,                0.94716,               0.000298,               0.000298,               0.000298
